Store_Dept_Date,Weekly_Sales
1_37_2012-11-23,747.11
1_38_2012-11-23,8432.5
1_40_2012-11-23,4727.66
1_41_2012-11-23,697.41
1_42_2012-11-23,3365.47
1_44_2012-11-23,1683.43
1_46_2012-11-23,2446.33
1_48_2012-11-23,43.0
1_49_2012-11-23,16.97
1_52_2012-11-23,674.14
1_54_2012-11-23,39.79
1_55_2012-11-23,5459.98
1_56_2012-11-23,3218.85
1_58_2012-11-23,1273.82
1_59_2012-11-23,67.52
1_60_2012-11-23,184.36
1_67_2012-11-23,3644.78
1_71_2012-11-23,1243.25
1_72_2012-11-23,33817.23
1_74_2012-11-23,5140.24
1_79_2012-11-23,7646.55
1_80_2012-11-23,8.29
1_81_2012-11-23,1721.54
1_82_2012-11-23,4565.5
1_83_2012-11-23,176.39
1_85_2012-11-23,816.19
1_87_2012-11-23,1915.55
1_90_2012-11-23,1667.4
1_91_2012-11-23,1051.28
1_92_2012-11-23,6080.33
1_93_2012-11-23,35291.01
1_94_2012-11-23,38193.9
1_95_2012-11-23,19414.07
1_96_2012-11-23,10134.39
1_97_2012-11-23,5010.18
1_98_2012-11-23,8219.41
1_99_2012-11-23,1963.36
1_1_2012-11-30,1146.23
1_2_2012-11-30,10246.36
1_3_2012-11-30,5880.36
1_4_2012-11-30,9209.65
1_5_2012-11-30,10371.17
1_6_2012-11-30,1737.6
1_7_2012-11-30,8761.82
1_8_2012-11-30,10644.47
1_9_2012-11-30,9985.04
1_10_2012-11-30,11629.14
1_11_2012-11-30,13363.6
1_12_2012-11-30,2679.67
1_13_2012-11-30,8688.16
1_14_2012-11-30,4138.07
1_16_2012-11-30,11791.83
1_17_2012-11-30,2373.02
1_18_2012-11-30,2388.94
1_19_2012-11-30,595.63
1_20_2012-11-30,1572.71
1_21_2012-11-30,1289.12
1_22_2012-11-30,2719.51
1_23_2012-11-30,8831.99
1_24_2012-11-30,2853.2
1_25_2012-11-30,3718.13
1_26_2012-11-30,1762.26
1_27_2012-11-30,428.72
1_28_2012-11-30,144.75
1_29_2012-11-30,1316.03
1_30_2012-11-30,1269.98
1_31_2012-11-30,810.55
1_32_2012-11-30,4871.21
1_33_2012-11-30,3369.84
1_34_2012-11-30,4537.12
1_35_2012-11-30,1361.69
1_36_2012-11-30,734.2
1_37_2012-11-30,734.2
1_38_2012-11-30,8485.74
1_40_2012-11-30,4727.66
1_41_2012-11-30,726.04
1_42_2012-11-30,3256.61
1_44_2012-11-30,1712.19
1_45_2012-11-30,22.42
1_46_2012-11-30,2467.0
1_48_2012-11-30,42.55
1_49_2012-11-30,18.38
1_52_2012-11-30,669.02
1_54_2012-11-30,44.53
1_55_2012-11-30,5492.34
1_56_2012-11-30,3243.38
1_58_2012-11-30,1271.61
1_59_2012-11-30,67.82
1_60_2012-11-30,183.05
1_67_2012-11-30,4129.9
1_71_2012-11-30,1213.16
1_72_2012-11-30,33893.81
1_74_2012-11-30,5212.5
1_79_2012-11-30,7568.94
1_80_2012-11-30,7.75
1_81_2012-11-30,1719.28
1_82_2012-11-30,4466.57
1_83_2012-11-30,173.92
1_85_2012-11-30,913.85
1_87_2012-11-30,1851.63
1_90_2012-11-30,1677.71
1_91_2012-11-30,1054.9
1_92_2012-11-30,6080.33
1_93_2012-11-30,35291.01
1_94_2012-11-30,38193.9
1_95_2012-11-30,19457.89
1_96_2012-11-30,10163.65
1_97_2012-11-30,4992.27
1_98_2012-11-30,8219.41
1_99_2012-11-30,1963.36
1_1_2012-12-07,1146.23
1_2_2012-12-07,10150.23
1_3_2012-12-07,5861.21
1_4_2012-12-07,8990.47
1_5_2012-12-07,8578.5
1_6_2012-12-07,1740.76
1_7_2012-12-07,8640.78
1_8_2012-12-07,10765.71
1_9_2012-12-07,9849.87
1_10_2012-12-07,11281.03
1_11_2012-12-07,13244.36
1_12_2012-12-07,2691.64
1_13_2012-12-07,8697.84
1_14_2012-12-07,4095.88
1_16_2012-12-07,11617.07
1_17_2012-12-07,2182.9
1_18_2012-12-07,2154.31
1_19_2012-12-07,727.43
1_20_2012-12-07,1524.45
1_21_2012-12-07,1279.55
1_22_2012-12-07,2684.35
1_23_2012-12-07,8667.66
1_24_2012-12-07,2780.53
1_25_2012-12-07,3480.21
1_26_2012-12-07,1824.64
1_27_2012-12-07,430.29
1_28_2012-12-07,141.0
1_29_2012-12-07,1273.16
1_30_2012-12-07,1254.76
1_31_2012-12-07,765.93
1_32_2012-12-07,2816.27
1_33_2012-12-07,2199.38
1_34_2012-12-07,4278.23
1_35_2012-12-07,1443.65
1_36_2012-12-07,836.75
1_37_2012-12-07,836.75
1_38_2012-12-07,8485.74
1_40_2012-12-07,4727.66
1_41_2012-12-07,504.95
1_42_2012-12-07,3300.84
1_44_2012-12-07,1515.39
1_45_2012-12-07,17.17
1_46_2012-12-07,2467.0
1_48_2012-12-07,35.43
1_49_2012-12-07,19.21
1_52_2012-12-07,667.74
1_54_2012-12-07,51.51
1_55_2012-12-07,5107.33
1_56_2012-12-07,2916.38
1_58_2012-12-07,1259.14
1_59_2012-12-07,62.91
1_60_2012-12-07,183.78
1_67_2012-12-07,3461.12
1_71_2012-12-07,980.84
1_72_2012-12-07,33495.12
1_74_2012-12-07,5176.86
1_79_2012-12-07,7251.94
1_80_2012-12-07,6.0
1_81_2012-12-07,1717.8
1_82_2012-12-07,4558.03
1_83_2012-12-07,178.84
1_85_2012-12-07,1026.29
1_87_2012-12-07,1769.15
1_90_2012-12-07,1675.16
1_91_2012-12-07,1057.57
1_92_2012-12-07,6080.33
1_93_2012-12-07,35291.01
1_94_2012-12-07,38193.9
1_95_2012-12-07,19511.6
1_96_2012-12-07,10163.65
1_97_2012-12-07,4992.27
1_98_2012-12-07,8219.41
1_99_2012-12-07,1963.36
1_1_2012-12-14,1146.23
1_2_2012-12-14,10179.17
1_3_2012-12-14,5912.27
1_4_2012-12-14,8911.05
1_5_2012-12-14,8400.29
1_6_2012-12-14,1718.63
1_7_2012-12-14,8484.04
1_8_2012-12-14,10688.91
1_9_2012-12-14,9332.86
1_10_2012-12-14,10957.84
1_11_2012-12-14,13061.61
1_12_2012-12-14,2530.7
1_13_2012-12-14,8717.49
1_14_2012-12-14,4107.44
1_16_2012-12-14,11953.31
1_17_2012-12-14,2181.75
1_18_2012-12-14,2145.02
1_19_2012-12-14,720.87
1_20_2012-12-14,1537.95
1_21_2012-12-14,1273.25
1_22_2012-12-14,2614.97
1_23_2012-12-14,8592.78
1_24_2012-12-14,2797.14
1_25_2012-12-14,3337.97
1_26_2012-12-14,1862.25
1_27_2012-12-14,416.21
1_28_2012-12-14,141.6
1_29_2012-12-14,1265.4
1_30_2012-12-14,1268.21
1_31_2012-12-14,767.93
1_32_2012-12-14,2884.16
1_33_2012-12-14,2324.3
1_34_2012-12-14,4177.85
1_35_2012-12-14,1443.27
1_36_2012-12-14,871.13
1_37_2012-12-14,871.13
1_38_2012-12-14,8485.74
1_40_2012-12-14,4727.66
1_41_2012-12-14,464.84
1_42_2012-12-14,3316.98
1_44_2012-12-14,1512.32
1_46_2012-12-14,2467.0
1_48_2012-12-14,16.98
1_49_2012-12-14,13.14
1_52_2012-12-14,667.09
1_54_2012-12-14,52.8
1_55_2012-12-14,4758.83
1_56_2012-12-14,2774.9
1_58_2012-12-14,1193.49
1_59_2012-12-14,62.91
1_60_2012-12-14,185.75
1_67_2012-12-14,3495.27
1_71_2012-12-14,947.26
1_72_2012-12-14,34665.01
1_74_2012-12-14,5168.86
1_79_2012-12-14,7247.8
1_80_2012-12-14,6.0
1_81_2012-12-14,1717.8
1_82_2012-12-14,4549.94
1_83_2012-12-14,160.35
1_85_2012-12-14,977.17
1_87_2012-12-14,1774.68
1_90_2012-12-14,1679.72
1_91_2012-12-14,1026.43
1_92_2012-12-14,6080.33
1_93_2012-12-14,35291.01
1_94_2012-12-14,38193.9
1_95_2012-12-14,18800.96
1_96_2012-12-14,10163.65
1_97_2012-12-14,4992.27
1_98_2012-12-14,8219.41
1_99_2012-12-14,1963.36
1_1_2012-12-21,1146.23
1_2_2012-12-21,10150.23
1_3_2012-12-21,5861.21
1_4_2012-12-21,8990.47
1_5_2012-12-21,8578.5
1_6_2012-12-21,1740.76
1_7_2012-12-21,8644.38
1_8_2012-12-21,10765.71
1_9_2012-12-21,9849.87
1_10_2012-12-21,11281.03
1_11_2012-12-21,13244.36
1_12_2012-12-21,2687.11
1_13_2012-12-21,8697.84
1_14_2012-12-21,4095.88
1_16_2012-12-21,11617.07
1_17_2012-12-21,2182.9
1_18_2012-12-21,2138.03
1_19_2012-12-21,775.98
1_20_2012-12-21,1510.38
1_21_2012-12-21,1279.55
1_22_2012-12-21,2666.47
1_23_2012-12-21,8667.66
1_24_2012-12-21,2780.53
1_25_2012-12-21,3495.75
1_26_2012-12-21,1824.64
1_27_2012-12-21,430.29
1_28_2012-12-21,141.0
1_29_2012-12-21,1273.16
1_30_2012-12-21,1254.76
1_31_2012-12-21,765.93
1_32_2012-12-21,2816.27
1_33_2012-12-21,2199.38
1_34_2012-12-21,4278.23
1_35_2012-12-21,1443.65
1_36_2012-12-21,836.75
1_37_2012-12-21,836.75
1_38_2012-12-21,8485.74
1_40_2012-12-21,4727.66
1_41_2012-12-21,504.95
1_42_2012-12-21,3301.99
1_44_2012-12-21,1512.87
1_46_2012-12-21,2467.0
1_47_2012-12-21,33.84
1_48_2012-12-21,35.36
1_49_2012-12-21,19.14
1_52_2012-12-21,667.74
1_54_2012-12-21,51.51
1_55_2012-12-21,5107.33
1_56_2012-12-21,2916.38
1_58_2012-12-21,1259.14
1_59_2012-12-21,63.07
1_60_2012-12-21,183.78
1_67_2012-12-21,3468.61
1_71_2012-12-21,980.84
1_72_2012-12-21,32773.38
1_74_2012-12-21,5147.5
1_79_2012-12-21,7241.23
1_80_2012-12-21,6.0
1_81_2012-12-21,1717.8
1_82_2012-12-21,4558.03
1_83_2012-12-21,178.84
1_85_2012-12-21,1026.29
1_87_2012-12-21,1769.15
1_90_2012-12-21,1675.16
1_91_2012-12-21,1057.57
1_92_2012-12-21,6080.33
1_93_2012-12-21,35291.01
1_94_2012-12-21,38193.9
1_95_2012-12-21,19511.6
1_96_2012-12-21,10163.65
1_97_2012-12-21,4992.27
1_98_2012-12-21,8219.41
1_99_2012-12-21,1963.36
1_1_2012-12-28,1146.23
1_2_2012-12-28,10153.52
1_3_2012-12-28,6627.25
1_4_2012-12-28,17175.48
1_5_2012-12-28,23474.55
1_6_2012-12-28,3589.51
1_7_2012-12-28,19680.37
1_8_2012-12-28,11489.64
1_9_2012-12-28,10946.73
1_10_2012-12-28,11342.37
1_11_2012-12-28,12141.45
1_12_2012-12-28,2558.42
1_13_2012-12-28,8668.21
1_14_2012-12-28,7687.13
1_16_2012-12-28,13704.83
1_17_2012-12-28,2620.49
1_18_2012-12-28,3472.37
1_19_2012-12-28,1152.53
1_20_2012-12-28,2041.4
1_21_2012-12-28,1694.73
1_22_2012-12-28,3549.74
1_23_2012-12-28,8891.03
1_24_2012-12-28,2844.84
1_25_2012-12-28,3687.25
1_26_2012-12-28,1897.1
1_27_2012-12-28,432.37
1_28_2012-12-28,140.84
1_29_2012-12-28,1529.52
1_30_2012-12-28,1269.63
1_31_2012-12-28,774.28
1_32_2012-12-28,3993.99
1_33_2012-12-28,2874.95
1_34_2012-12-28,4464.13
1_35_2012-12-28,1306.43
1_36_2012-12-28,893.18
1_37_2012-12-28,893.18
1_38_2012-12-28,8432.5
1_40_2012-12-28,4727.66
1_41_2012-12-28,475.59
1_42_2012-12-28,3376.81
1_44_2012-12-28,1612.43
1_46_2012-12-28,2446.33
1_48_2012-12-28,80.44
1_49_2012-12-28,22.79
1_52_2012-12-28,1534.18
1_54_2012-12-28,48.27
1_55_2012-12-28,7172.71
1_56_2012-12-28,3496.53
1_58_2012-12-28,1355.4
1_59_2012-12-28,111.18
1_60_2012-12-28,180.19
1_67_2012-12-28,3418.17
1_71_2012-12-28,1370.16
1_72_2012-12-28,67368.67
1_74_2012-12-28,6282.74
1_79_2012-12-28,7282.53
1_80_2012-12-28,19.79
1_81_2012-12-28,1716.57
1_82_2012-12-28,4744.71
1_83_2012-12-28,189.29
1_85_2012-12-28,995.49
1_87_2012-12-28,1805.66
1_90_2012-12-28,1678.73
1_91_2012-12-28,1025.34
1_92_2012-12-28,6080.33
1_93_2012-12-28,35291.01
1_94_2012-12-28,38193.9
1_95_2012-12-28,19418.38
1_96_2012-12-28,10134.39
1_97_2012-12-28,5010.18
1_98_2012-12-28,8219.41
1_99_2012-12-28,1963.36
1_1_2013-01-04,1146.23
1_2_2013-01-04,10039.29
1_3_2013-01-04,6261.64
1_4_2013-01-04,11724.35
1_5_2013-01-04,15733.82
1_6_2013-01-04,3592.46
1_7_2013-01-04,18681.82
1_8_2013-01-04,10968.25
1_9_2013-01-04,9884.98
1_10_2013-01-04,10843.65
1_11_2013-01-04,12159.16
1_12_2013-01-04,2383.8
1_13_2013-01-04,8684.39
1_14_2013-01-04,7579.97
1_16_2013-01-04,13141.82
1_17_2013-01-04,2577.7
1_18_2013-01-04,2671.72
1_19_2013-01-04,608.54
1_20_2013-01-04,1903.91
1_21_2013-01-04,1526.12
1_22_2013-01-04,3467.01
1_23_2013-01-04,8566.24
1_24_2013-01-04,2864.54
1_25_2013-01-04,3513.01
1_26_2013-01-04,1906.97
1_27_2013-01-04,417.83
1_28_2013-01-04,141.5
1_29_2013-01-04,1329.48
1_30_2013-01-04,1234.08
1_31_2013-01-04,764.55
1_32_2013-01-04,3586.52
1_33_2013-01-04,2905.54
1_34_2013-01-04,4345.58
1_35_2013-01-04,1299.1
1_36_2013-01-04,915.26
1_37_2013-01-04,915.26
1_38_2013-01-04,8432.5
1_40_2013-01-04,4727.66
1_41_2013-01-04,478.31
1_42_2013-01-04,3498.07
1_44_2013-01-04,1633.59
1_46_2013-01-04,2445.86
1_48_2013-01-04,74.97
1_49_2013-01-04,22.33
1_52_2013-01-04,1534.83
1_54_2013-01-04,50.76
1_55_2013-01-04,6932.57
1_56_2013-01-04,3393.61
1_58_2013-01-04,1325.75
1_59_2013-01-04,81.84
1_60_2013-01-04,179.24
1_67_2013-01-04,3407.5
1_71_2013-01-04,1341.43
1_72_2013-01-04,70089.64
1_74_2013-01-04,6299.07
1_79_2013-01-04,7370.96
1_80_2013-01-04,19.96
1_81_2013-01-04,1720.31
1_82_2013-01-04,4525.63
1_83_2013-01-04,171.96
1_85_2013-01-04,959.54
1_87_2013-01-04,1800.23
1_90_2013-01-04,1678.07
1_91_2013-01-04,1024.35
1_92_2013-01-04,6080.33
1_93_2013-01-04,35291.01
1_94_2013-01-04,38193.9
1_95_2013-01-04,18533.52
1_96_2013-01-04,10134.39
1_97_2013-01-04,5011.91
1_98_2013-01-04,8219.41
1_1_2013-01-11,1146.23
1_2_2013-01-11,10020.81
1_3_2013-01-11,6261.64
1_4_2013-01-11,10613.6
1_5_2013-01-11,13703.37
1_6_2013-01-11,3473.0
1_7_2013-01-11,17327.02
1_8_2013-01-11,10985.82
1_9_2013-01-11,9710.04
1_10_2013-01-11,10787.06
1_11_2013-01-11,11915.3
1_12_2013-01-11,2527.88
1_13_2013-01-11,8684.39
1_14_2013-01-11,7149.54
1_16_2013-01-11,13141.82
1_17_2013-01-11,2536.28
1_18_2013-01-11,3002.09
1_19_2013-01-11,855.9
1_20_2013-01-11,1852.86
1_21_2013-01-11,1523.46
1_22_2013-01-11,3176.33
1_23_2013-01-11,8524.16
1_24_2013-01-11,2826.44
1_25_2013-01-11,3509.56
1_26_2013-01-11,1906.97
1_27_2013-01-11,417.83
1_28_2013-01-11,141.5
1_29_2013-01-11,1255.37
1_30_2013-01-11,1234.08
1_31_2013-01-11,781.84
1_32_2013-01-11,3929.35
1_33_2013-01-11,2767.82
1_34_2013-01-11,4352.62
1_35_2013-01-11,1307.51
1_36_2013-01-11,921.21
1_37_2013-01-11,921.21
1_38_2013-01-11,8432.5
1_40_2013-01-11,4727.66
1_41_2013-01-11,466.82
1_42_2013-01-11,3365.01
1_44_2013-01-11,1618.66
1_46_2013-01-11,2445.86
1_48_2013-01-11,74.81
1_49_2013-01-11,22.17
1_52_2013-01-11,1018.97
1_55_2013-01-11,6159.46
1_56_2013-01-11,3393.61
1_58_2013-01-11,1327.75
1_59_2013-01-11,78.84
1_60_2013-01-11,178.69
1_67_2013-01-11,3406.44
1_71_2013-01-11,1258.32
1_72_2013-01-11,64606.23
1_74_2013-01-11,5997.82
1_79_2013-01-11,7285.06
1_80_2013-01-11,19.79
1_81_2013-01-11,1716.57
1_82_2013-01-11,4462.01
1_83_2013-01-11,174.78
1_85_2013-01-11,1005.81
1_87_2013-01-11,1802.12
1_90_2013-01-11,1677.54
1_91_2013-01-11,1024.35
1_92_2013-01-11,6080.33
1_93_2013-01-11,35291.01
1_94_2013-01-11,38193.9
1_95_2013-01-11,18533.52
1_96_2013-01-11,10134.39
1_97_2013-01-11,5010.43
1_98_2013-01-11,8219.41
1_1_2013-01-18,1146.23
1_2_2013-01-18,9924.16
1_3_2013-01-18,6178.72
1_4_2013-01-18,8893.41
1_5_2013-01-18,8794.8
1_6_2013-01-18,1808.71
1_7_2013-01-18,13699.65
1_8_2013-01-18,10578.03
1_9_2013-01-18,8971.01
1_10_2013-01-18,10344.09
1_11_2013-01-18,11758.99
1_12_2013-01-18,2514.32
1_13_2013-01-18,8684.39
1_14_2013-01-18,4247.99
1_16_2013-01-18,13141.82
1_17_2013-01-18,2293.83
1_18_2013-01-18,2773.76
1_19_2013-01-18,811.45
1_20_2013-01-18,1696.07
1_21_2013-01-18,1411.81
1_22_2013-01-18,2772.07
1_23_2013-01-18,8319.81
1_24_2013-01-18,2820.85
1_25_2013-01-18,3498.58
1_26_2013-01-18,1906.97
1_27_2013-01-18,417.83
1_28_2013-01-18,141.5
1_29_2013-01-18,1257.6
1_30_2013-01-18,1228.9
1_31_2013-01-18,781.84
1_32_2013-01-18,4389.16
1_33_2013-01-18,2761.18
1_34_2013-01-18,4479.38
1_35_2013-01-18,1329.93
1_36_2013-01-18,922.65
1_37_2013-01-18,922.65
1_38_2013-01-18,8432.5
1_40_2013-01-18,4727.66
1_41_2013-01-18,460.77
1_42_2013-01-18,3337.11
1_44_2013-01-18,1630.11
1_45_2013-01-18,18.38
1_46_2013-01-18,2445.86
1_48_2013-01-18,73.27
1_49_2013-01-18,22.62
1_52_2013-01-18,1035.06
1_54_2013-01-18,50.95
1_55_2013-01-18,5826.38
1_56_2013-01-18,3393.61
1_58_2013-01-18,1329.5
1_59_2013-01-18,78.95
1_60_2013-01-18,178.69
1_67_2013-01-18,3603.35
1_71_2013-01-18,1104.33
1_72_2013-01-18,33982.93
1_74_2013-01-18,5175.23
1_79_2013-01-18,7285.9
1_80_2013-01-18,-25.3
1_81_2013-01-18,1716.51
1_82_2013-01-18,4323.28
1_83_2013-01-18,172.94
1_85_2013-01-18,1002.97
1_87_2013-01-18,1804.49
1_90_2013-01-18,1668.34
1_91_2013-01-18,1024.35
1_92_2013-01-18,6080.33
1_93_2013-01-18,35291.01
1_94_2013-01-18,38193.9
1_95_2013-01-18,18533.52
1_96_2013-01-18,10134.39
1_97_2013-01-18,5010.43
1_98_2013-01-18,8219.41
1_1_2013-01-25,1187.4
1_2_2013-01-25,9924.16
1_3_2013-01-25,6178.72
1_4_2013-01-25,8820.14
1_5_2013-01-25,8145.32
1_6_2013-01-25,1809.85
1_7_2013-01-25,13711.99
1_8_2013-01-25,10560.46
1_9_2013-01-25,9052.69
1_10_2013-01-25,10313.64
1_11_2013-01-25,11957.19
1_12_2013-01-25,2508.44
1_13_2013-01-25,8683.41
1_14_2013-01-25,4230.44
1_16_2013-01-25,13141.82
1_17_2013-01-25,2293.83
1_18_2013-01-25,2431.14
1_19_2013-01-25,564.89
1_20_2013-01-25,1687.95
1_21_2013-01-25,1394.77
1_22_2013-01-25,2694.36
1_23_2013-01-25,8361.89
1_24_2013-01-25,2816.41
